Date,Open Price,High Price,Low Price,Close Price,WAP
06-May-2019,56902.296875,57232.11328125,56210.62109375,56512.55078125,56661.43359375
03-May-2019,56654.45703125,56570.60546875,55866.84765625,56799.45703125,56820.15234375
02-May-2019,57051.3515625,57899.6484375,56502.6328125,56634.58203125,57081.3046875
01-May-2019,56948.0234375,57299.27734375,56042.8046875,56648.70703125,56815.4609375
30-April-2019,57199.1015625,57854.55859375,56294.4453125,56927.42578125,57165.0390625
29-April-2019,57087.36328125,58435.57421875,56483.2578125,57099.5703125,57289.4453125
26-April-2019,57111.125,57475.02734375,56505.6953125,56670.23828125,56873.94140625
25-April-2019,57165.6484375,57371.80859375,56461.0859375,57087.015625,56952.91796875
24-April-2019,56652.48046875,57453.3125,56250.41796875,57125.953125,56906.0703125
23-April-2019,56823.93359375,57814.8515625,56413.89453125,57011.9296875,57049.609375
