Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-April-2019,18150.00,18157.45,18041.25,18126.15,18109.584362139917695473,243,121,4400629.00,69,28.40,116.20,-23.85
18-April-2019,18350.00,18350.00,18050.00,18175.85,18190.146699266503667481,409,191,7439770.00,171,41.81,300.00,-174.15
16-April-2019,18100.00,18342.95,18068.20,18239.35,18199.763052208835341365,498,197,9063482.00,169,33.94,274.75,139.35
15-April-2019,18025.00,18056.15,17925.05,18010.65,17999.991543340380549682,473,176,8513996.00,227,47.99,131.10,-14.35
12-April-2019,17893.95,18000.00,17819.00,17938.95,17963.505714285714285714,700,204,12574454.00,314,44.86,181.00,45.00
11-April-2019,17800.10,17954.00,17758.35,17817.90,17835.357852882703777335,503,221,8971185.00,188,37.38,195.65,17.80
10-April-2019,17876.95,17876.95,17770.10,17840.05,17810.143631436314363143,369,131,6571943.00,159,43.09,106.85,-36.90
9-April-2019,17950.00,17993.95,17750.35,17876.90,17846.879912663755458515,458,199,8173871.00,229,50.00,243.60,-73.10
8-April-2019,18235.55,18235.55,17928.85,17999.80,17982.145038167938931297,262,110,4711322.00,99,37.79,306.70,-235.75
5-April-2019,17990.00,18033.95,17898.30,17967.30,17974.230337078651685393,178,92,3199413.00,59,33.15,135.65,-22.70
4-April-2019,18169.95,18169.95,17801.15,17853.50,17898.430594900849858356,5648,284,101090336.00,5189,91.87,368.80,-316.45
3-April-2019,18005.45,18256.15,17900.00,18033.45,18007.342748612058050063,10267,211,184881388.00,9071,88.35,356.15,28.00
2-April-2019,18100.00,18145.30,17921.00,17985.25,18038.201127819548872180,532,198,9596323.00,199,37.41,224.30,-114.75
1-April-2019,18300.00,18300.00,18042.00,18067.40,18154.796453353893600616,1297,328,23546771.00,643,49.58,258.00,-232.60
29-March-2019,18050.00,18256.45,17651.00,18165.55,18052.544072948328267477,987,410,17817861.00,316,32.02,605.45,115.55
28-March-2019,18000.00,18025.25,17850.05,17921.15,17959.522862823061630218,503,183,9033640.00,206,40.95,175.20,-78.85
27-March-2019,18280.00,18280.00,17905.10,17990.75,18071.078374455732946298,689,281,12450973.00,293,42.53,374.90,-289.25
26-March-2019,18255.00,18255.00,18065.75,18170.15,18117.401606425702811244,498,332,9022466.00,365,73.29,189.25,-84.85
25-March-2019,18235.00,18267.00,18100.00,18181.05,18142.512576356449874236,5566,189,100981225.00,5307,95.35,167.00,-53.95
22-March-2019,18398.05,18409.95,18215.05,18267.50,18319.883027522935779816,436,200,7987469.00,173,39.68,194.90,-130.55
20-March-2019,18499.45,18499.45,18363.00,18381.55,18401.418823529411764705,425,115,7820603.00,282,66.35,136.45,-117.90
19-March-2019,18452.05,18509.55,18356.65,18447.20,18440.210327455919395465,794,198,14641527.00,480,60.45,152.90,-4.85
18-March-2019,18500.00,18500.00,18340.00,18469.30,18427.809338521400778210,257,119,4735947.00,64,24.90,160.00,-30.70
15-March-2019,18790.00,18790.00,18350.00,18448.90,18490.173236514522821576,964,335,17824527.00,570,59.13,440.00,-341.10
14-March-2019,18708.15,18708.15,18316.00,18603.55,18474.681983071342200725,827,374,15278562.00,188,22.73,392.15,-104.60
13-March-2019,18983.55,18989.90,18520.00,18615.15,18672.334164588528678304,802,346,14975212.00,301,37.53,469.90,-368.40
12-March-2019,19233.65,19422.55,19001.60,19068.00,19211.471216617210682492,1685,325,32371329.00,152,9.02,420.95,-165.65
11-March-2019,18502.00,19144.90,18473.70,19065.90,18989.660677618069815195,1948,501,36991859.00,1103,56.62,671.20,563.90
8-March-2019,18509.45,18540.00,18257.45,18444.15,18407.209856915739268680,629,259,11578135.00,311,49.44,282.55,-65.30
7-March-2019,18942.75,18942.75,18443.50,18509.45,18574.511655011655011655,858,416,15936931.00,283,32.98,499.25,-433.30
6-March-2019,19000.00,19050.00,18785.55,18904.00,18922.827225130890052356,764,357,14457040.00,207,27.09,264.45,-96.00
5-March-2019,18749.30,18957.50,18690.15,18877.10,18851.785617367706919945,737,303,13893766.00,213,28.90,267.35,127.80
1-March-2019,18991.95,19019.15,18703.20,18749.30,18851.898778359511343804,573,282,10802138.00,148,25.83,315.95,-242.65
28-February-2019,18850.00,19240.00,18850.00,19003.30,19090.153846153846153846,741,369,14145804.00,209,28.21,390.00,153.30
27-February-2019,18800.00,19090.00,18229.25,18602.90,18810.067137809187279151,1698,793,31939494.00,463,27.27,860.75,-197.10
26-February-2019,18295.00,18899.00,18087.00,18724.40,18484.976744186046511627,1634,676,30204452.00,560,34.27,812.00,429.40
25-February-2019,18198.00,18448.90,18141.15,18401.40,18349.422818791946308724,1788,835,32808768.00,977,54.64,307.75,203.40
22-February-2019,18099.00,18247.00,17709.30,18141.15,18058.566611387506909894,1809,716,32667947.00,673,37.20,537.70,42.15
21-February-2019,18465.00,18465.00,17950.00,18032.65,18088.090000000000000000,400,179,7235236.00,91,22.75,515.00,-432.35
20-February-2019,17901.10,18250.00,17792.70,18153.05,18050.055309734513274336,452,199,8158625.00,98,21.68,457.30,251.95
19-February-2019,17879.55,17879.55,17601.00,17757.45,17741.009823182711198428,509,290,9030174.00,160,31.43,278.55,-122.10
18-February-2019,18399.00,18399.00,17670.00,17754.30,17793.154088050314465408,636,328,11316446.00,241,37.89,729.00,-644.70
15-February-2019,18100.00,18200.00,17829.00,18115.15,18023.773182957393483709,798,368,14382971.00,260,32.58,371.00,15.15
14-February-2019,18000.00,18475.00,17988.00,18107.00,18190.089673913043478260,1472,536,26775812.00,345,23.44,487.00,107.00
13-February-2019,18700.00,18753.00,17600.00,17897.85,18061.913708513708513708,3465,1504,62584531.00,749,21.62,1153.00,-802.15
12-February-2019,18800.00,18800.00,18500.00,18610.00,18587.196261682242990654,1177,397,21877130.00,509,43.25,300.00,-190.00
11-February-2019,18933.55,18951.00,18639.10,18774.55,18812.619765494137353433,597,259,11231134.00,196,32.83,311.90,-159.00
8-February-2019,19255.40,19255.40,18900.00,18933.55,19005.933858267716535433,635,206,12068768.00,321,50.55,355.40,-321.85
7-February-2019,19215.00,19325.20,19171.65,19255.40,19245.799674267100977198,614,226,11816921.00,259,42.18,153.55,40.40
6-February-2019,19190.00,19295.40,19053.95,19240.50,19171.780548628428927680,401,156,7687884.00,131,32.67,241.45,50.50
5-February-2019,19046.25,19192.00,18951.05,19044.55,19058.163793103448275862,464,211,8842988.00,109,23.49,240.95,-1.70
4-February-2019,19168.05,19490.00,18939.25,19081.85,19166.155072463768115942,690,316,13224647.00,189,27.39,550.75,-86.20
1-February-2019,19139.95,19340.00,18820.95,19289.80,19126.123991935483870967,992,505,18973115.00,218,21.98,519.05,149.85
31-January-2019,18600.00,18900.00,18452.70,18823.95,18657.090909090909090909,418,181,7798664.00,174,41.63,447.30,223.95
30-January-2019,18699.00,18699.00,18220.00,18527.95,18407.062903225806451612,620,303,11412379.00,281,45.32,479.00,-171.05
29-January-2019,18262.40,18262.40,17955.15,18137.15,18100.782778864970645792,511,220,9249500.00,196,38.36,307.25,-125.25
28-January-2019,18400.00,18530.70,17911.70,18223.20,18157.300598802395209580,835,380,15161346.00,203,24.31,619.00,-176.80
25-January-2019,19143.70,19171.00,18396.20,18530.70,18779.020025031289111389,799,399,15004437.00,261,32.67,774.80,-613.00
24-January-2019,19026.00,19195.20,18962.35,19136.10,19046.131274131274131274,259,137,4932948.00,96,37.07,232.85,110.10
23-January-2019,19239.55,19264.00,19026.00,19058.05,19109.267441860465116279,172,100,3286794.00,49,28.49,238.00,-181.50
22-January-2019,19030.65,19245.00,19018.15,19190.70,19118.930379746835443037,316,144,6041582.00,101,31.96,226.85,160.05
21-January-2019,19237.45,19237.45,19030.00,19046.25,19104.902040816326530612,245,104,4680701.00,86,35.10,207.45,-191.20
18-January-2019,19102.65,19240.00,19030.00,19198.60,19080.766784452296819787,283,90,5399857.00,122,43.11,210.00,95.95
17-January-2019,19150.35,19280.00,18954.45,19140.80,19105.024330900243309002,411,138,7852165.00,132,32.12,325.55,-9.55
16-January-2019,19229.00,19281.00,19040.85,19059.75,19130.309963099630996309,271,107,5184314.00,92,33.95,240.15,-169.25
15-January-2019,19400.00,19400.00,19010.00,19093.40,19122.604483732798687687,10973,292,209832339.00,10513,95.81,390.00,-306.60
14-January-2019,19515.00,19515.00,19100.00,19121.65,19216.657794676806083650,263,148,5053981.00,131,49.81,415.00,-393.35
11-January-2019,19680.00,19718.65,19443.55,19514.05,19550.120331950207468879,241,110,4711579.00,28,11.62,275.10,-165.95
10-January-2019,19569.00,19723.50,19349.75,19666.95,19596.784810126582278481,474,177,9288876.00,130,27.43,373.75,97.95
9-January-2019,19478.40,19575.70,19270.00,19432.70,19437.398162327718223583,653,217,12692621.00,183,28.02,305.70,-45.70
8-January-2019,19545.05,19545.05,19261.45,19293.35,19335.181208053691275167,149,77,2880942.00,64,42.95,283.60,-251.70
7-January-2019,19629.90,19629.90,19437.65,19496.15,19493.938596491228070175,228,93,4444618.00,68,29.82,192.25,-133.75
4-January-2019,19378.95,19505.00,19190.00,19445.20,19292.903038138332255979,1547,480,29846121.00,681,44.02,315.00,66.25
3-January-2019,19497.10,19660.00,19200.00,19253.85,19300.957003546099290780,2256,534,43542959.00,1345,59.62,460.00,-243.25
2-January-2019,19556.30,19600.00,19411.00,19465.75,19496.574162679425837320,209,104,4074784.00,66,31.58,189.00,-90.55
