Date,Open Price,High Price,Low Price,Close Price,WAP
14-March-2019,2009.0,2009.0,1982.3,1988.6,1991.858206593963
13-March-2019,2006.1,2015.15,1978.6,2001.15,2000.6805985495678
12-March-2019,2018.0,2024.9,2003.35,2012.55,2014.9390565220526
11-March-2019,2022.7,2032.8,2005.5,2014.1,2016.935331857151
8-March-2019,2029.0,2032.6,2010.05,2022.3,2023.1872612256313
7-March-2019,2000.5,2021.0,2000.5,2011.5,2013.8821189250186
6-March-2019,1990.0,2014.35,1986.45,1999.4,2002.276816106456
5-March-2019,2002.0,2005.0,1978.05,1987.85,1986.4459430112804
1-March-2019,1990.0,2005.95,1982.5,1991.65,1993.502828250016
28-February-2019,2065.0,2070.0,1977.85,1984.25,2006.6220486237867
27-February-2019,2037.0,2070.0,2020.85,2053.75,2048.690048163083
26-February-2019,1977.0,2038.65,1969.9,2032.35,2018.1763491880688
25-February-2019,1927.15,1990.0,1927.15,1985.0,1963.8444519263144
22-February-2019,1920.0,1930.5,1905.0,1925.9,1920.6317558019034
21-February-2019,1924.0,1939.8,1898.65,1912.25,1922.5708091327856
20-February-2019,1913.95,1933.8,1882.0,1914.45,1908.9120350286844
19-February-2019,1971.75,1971.75,1895.0,1904.85,1927.4970351962088
18-February-2019,2035.0,2044.1,1965.6,1971.75,1984.0795856102884
15-February-2019,2045.0,2052.0,2013.0,2030.9,2031.946566967104
14-February-2019,2064.0,2075.0,2033.15,2044.65,2050.896464772557
13-February-2019,2057.0,2082.75,2050.65,2068.6,2064.237878067339
12-February-2019,2070.0,2077.0,2020.35,2050.65,2043.34426489946
11-February-2019,2062.0,2093.45,2051.05,2065.55,2075.8017949888704
8-February-2019,2078.0,2088.25,2054.0,2062.75,2082.5310598141864
7-February-2019,2079.4,2097.8,2069.5,2079.9,2083.329489881956
6-February-2019,2052.0,2086.0,2040.4,2077.85,2066.1751994999127
5-February-2019,2049.0,2054.75,2028.05,2044.35,2042.753815723023
4-February-2019,2030.0,2051.0,2018.3,2047.15,2039.0877144001647
1-February-2019,2005.0,2035.0,1998.3,2030.75,2022.4079716137985
31-January-2019,1988.0,2019.5,1985.05,2014.6,2006.351348752884
30-January-2019,1983.15,1983.95,1955.1,1977.85,1973.3454612776238
29-January-2019,1956.0,1989.8,1937.3,1983.15,1962.169099517105
28-January-2019,1931.7,1958.0,1929.55,1951.95,1947.3736210573647
25-January-2019,1904.4,1933.45,1900.75,1919.05,1920.7323943661968
24-January-2019,1882.0,1904.5,1876.0,1901.75,1894.631652610802
23-January-2019,1900.0,1907.7,1874.0,1879.75,1883.7199634607045
22-January-2019,1908.0,1918.2,1890.7,1900.35,1903.3107157875063
21-January-2019,1900.4,1931.3,1896.55,1905.8,1917.1084130858042
18-January-2019,1887.0,1904.45,1877.3,1900.4,1891.4205835220569
17-January-2019,1871.0,1899.0,1871.0,1895.1,1887.9271456074573
16-January-2019,1869.95,1874.8,1848.55,1870.1,1862.8150809429133
15-January-2019,1813.55,1868.0,1809.55,1864.2,1847.757645196464
14-January-2019,1854.7,1854.85,1810.5,1814.4,1818.437301493942
11-January-2019,1875.0,1876.05,1836.1,1841.95,1848.4781119082752
10-January-2019,1904.0,1906.8,1874.1,1888.15,1893.4252200902577
9-January-2019,1915.0,1919.0,1869.05,1887.8,1895.8744392902038
8-January-2019,1902.0,1908.0,1884.0,1893.05,1892.601306802713
7-January-2019,1891.1,1909.0,1880.25,1896.65,1894.0404381644025
4-January-2019,1901.0,1901.05,1841.5,1873.95,1867.7108487052678
3-January-2019,1913.5,1944.0,1891.7,1896.45,1914.15965242746
2-January-2019,1907.9,1933.0,1900.55,1923.15,1921.3024916920613
1-January-2019,1905.0,1909.0,1885.1,1902.35,1899.900673877734
31-December-2018,1901.0,1910.15,1887.0,1893.55,1896.0661498641448
28-December-2018,1909.45,1921.0,1893.75,1895.8,1905.5369986207515
27-December-2018,1909.9,1940.1,1892.35,1909.45,1920.1651907565602
26-December-2018,1916.0,1917.95,1872.0,1889.5,1885.0725023684824
24-December-2018,1901.0,1938.0,1901.0,1915.55,1923.1413099263373
21-December-2018,1949.9,1950.0,1890.0,1897.25,1921.229368098562
20-December-2018,1965.0,1975.45,1947.0,1956.35,1954.8256497513964
19-December-2018,1985.0,1985.0,1960.0,1967.2,1969.1779393250213
18-December-2018,1999.5,2001.95,1975.1,1987.7,1987.3418057663125
17-December-2018,1990.15,2003.0,1985.5,1993.25,1994.5294799707744
14-December-2018,1995.0,1995.0,1975.65,1989.25,1986.2504078196976
13-December-2018,2020.0,2028.4,1975.0,1983.65,1995.7194651156885
12-December-2018,1998.35,2022.05,1987.1,2018.7,2008.896738245601
11-December-2018,1973.5,2009.7,1961.15,1998.35,1990.1986738557293
10-December-2018,1979.0,2009.9,1962.05,1974.9,1987.615953355408
7-December-2018,1991.75,2003.85,1975.0,1995.95,1991.0815866199125
6-December-2018,2000.0,2017.95,1981.25,1991.75,1998.68878804728
5-December-2018,2009.4,2017.5,1985.0,2006.1,2002.9956167423247
4-December-2018,1983.0,2019.3,1971.5,2009.4,2004.021654717417
3-December-2018,1980.1,1990.0,1969.05,1982.2,1979.2636219914405
30-November-2018,1960.25,1989.4,1960.25,1970.6,1977.0384532612527
29-November-2018,2000.0,2000.0,1943.65,1959.45,1964.3351683317887
28-November-2018,1897.0,1982.15,1883.9,1976.55,1953.2158221754366
27-November-2018,1865.0,1893.5,1834.6,1888.35,1866.957233911841
26-November-2018,1822.9,1859.5,1787.0,1846.1,1821.4378631940067
22-November-2018,1822.45,1847.1,1810.4,1815.25,1830.4757864566488
