Date,Open Price,High Price,Low Price,Close Price,WAP
14-March-2019,231.4,231.4,224.0,224.65,225.98187445316483
13-March-2019,235.0,235.5,228.5,229.75,231.24844577268613
12-March-2019,233.0,236.9,231.0,233.35,234.3187550308559
11-March-2019,225.5,233.9,225.5,232.8,230.705287661432
8-March-2019,222.0,227.0,220.45,225.7,224.31497330282227
7-March-2019,223.8,224.8,219.3,221.15,222.030939776212
6-March-2019,222.05,226.15,219.7,220.5,224.14084567843497
5-March-2019,218.05,223.2,217.8,221.85,221.6504888594717
1-March-2019,215.0,219.0,213.1,217.3,215.87185545204983
28-February-2019,216.4,216.4,211.0,212.3,213.36962404561714
27-February-2019,214.95,219.45,212.05,214.45,215.54407644419484
26-February-2019,209.7,212.85,205.0,212.05,208.14466519816673
25-February-2019,211.0,212.5,209.5,210.35,210.2697721579387
22-February-2019,210.0,211.7,208.4,211.25,210.0402766083728
21-February-2019,214.0,214.0,202.65,210.0,209.08636925711025
20-February-2019,199.0,208.0,199.0,206.85,204.18128228187226
19-February-2019,198.1,202.7,197.2,200.1,199.7142387681329
18-February-2019,204.7,204.9,196.6,197.85,199.43972078032908
15-February-2019,203.5,205.9,200.65,204.95,204.37276766999244
14-February-2019,205.45,206.95,203.2,204.75,204.98369891955963
13-February-2019,207.45,209.8,205.2,206.4,206.91384150709598
12-February-2019,205.8,209.0,203.95,207.4,207.19549436243688
11-February-2019,214.1,214.1,206.0,208.0,208.9099491035036
8-February-2019,216.0,217.05,212.0,213.4,214.55329279215567
7-February-2019,215.0,218.3,213.35,215.15,216.42277958740502
6-February-2019,210.0,215.1,208.5,214.35,212.45494004266902
5-February-2019,213.0,215.1,206.5,209.05,210.41942553342602
4-February-2019,211.8,212.8,208.2,212.3,210.6904994821038
1-February-2019,210.35,215.15,209.3,211.8,212.1301609517145
31-January-2019,206.0,211.75,204.5,210.2,208.20430681927647
30-January-2019,201.0,205.25,198.55,204.2,202.05858289915557
29-January-2019,199.0,205.0,198.35,200.9,201.31627973145999
28-January-2019,200.0,204.15,198.1,199.2,199.9732395618729
25-January-2019,212.65,213.5,201.35,202.5,206.9690470503941
24-January-2019,212.6,213.4,208.5,210.7,210.44366197183098
23-January-2019,212.35,215.5,210.65,212.0,213.51175817651455
22-January-2019,212.3,215.25,211.5,213.55,212.9967025506741
21-January-2019,212.6,214.5,211.5,212.55,212.87588725972748
18-January-2019,215.9,216.15,212.4,212.9,214.23854802655723
17-January-2019,218.5,218.55,214.3,215.1,215.60690297266743
16-January-2019,216.5,219.5,215.75,216.5,217.4198299984161
15-January-2019,214.9,217.4,214.8,216.5,216.53305702785642
14-January-2019,213.1,215.15,211.5,214.65,213.86398054286167
11-January-2019,213.65,214.6,211.7,212.7,213.05405137064503
10-January-2019,213.35,215.1,210.9,212.45,212.1802898690661
9-January-2019,220.0,220.0,211.45,212.95,214.95333268737838
8-January-2019,217.5,219.65,215.3,218.45,217.90379741488547
7-January-2019,219.35,220.2,216.6,218.3,218.6297845465746
4-January-2019,218.5,218.5,211.2,216.05,214.15548796531147
3-January-2019,219.75,220.5,213.5,214.0,216.2738371664455
2-January-2019,223.25,223.55,218.3,219.1,221.07487134007874
1-January-2019,225.55,225.55,221.3,222.65,222.83756562428675
31-December-2018,221.0,225.2,219.95,224.4,223.57943483796765
28-December-2018,218.05,222.75,217.25,220.75,220.6522976391232
27-December-2018,220.1,222.75,215.95,216.75,218.48458792223408
26-December-2018,213.9,221.45,210.0,220.6,216.64080247239684
24-December-2018,216.8,218.5,213.25,214.05,216.19816595839856
21-December-2018,224.4,225.85,219.0,220.75,221.64399959888686
20-December-2018,226.8,229.45,223.9,225.1,226.64442779947566
19-December-2018,220.0,230.25,220.0,227.2,226.46434273241462
18-December-2018,218.7,221.95,218.15,219.75,219.08213285497243
17-December-2018,220.0,221.0,217.5,218.6,219.1879741121077
14-December-2018,223.0,224.85,217.6,219.25,220.87517985141002
13-December-2018,217.8,221.0,216.25,218.75,218.5194013920081
12-December-2018,212.9,218.35,212.9,216.15,216.2059861750752
