Date,Open Price,High Price,Low Price,Close Price,WAP
14-March-2019,7100.0,7147.95,7049.0,7086.8,7087.983327766644
13-March-2019,7189.9,7200.2,7050.1,7086.05,7114.243864648756
12-March-2019,7104.0,7229.0,7102.0,7153.95,7181.145914428311
11-March-2019,6987.0,7118.0,6973.1,7090.4,7071.485021165745
8-March-2019,6999.0,7021.9,6955.0,6972.85,6986.707143727408
7-March-2019,7059.0,7081.5,7000.8,7030.65,7036.1991645983435
6-March-2019,7148.0,7148.0,7014.05,7058.95,7072.4340240240235
5-March-2019,6941.0,7155.0,6895.25,7114.5,7048.899372331498
1-March-2019,6889.0,6950.0,6833.3,6933.2,6901.685802341362
28-February-2019,7003.25,7032.45,6801.15,6832.25,6897.7990331028
27-February-2019,6905.0,7047.0,6849.85,6955.2,6959.547342729683
26-February-2019,6884.0,6974.9,6808.35,6896.3,6899.04690169281
25-February-2019,6932.0,6984.4,6887.55,6921.45,6925.658785942492
22-February-2019,6844.0,6940.0,6804.75,6916.4,6891.566204728075
21-February-2019,6860.0,6878.0,6718.3,6796.8,6782.565238190154
20-February-2019,6852.0,6882.65,6807.0,6848.7,6845.544794784534
19-February-2019,6849.95,6913.9,6778.4,6805.75,6862.914980048171
18-February-2019,6980.0,6980.0,6825.25,6844.4,6876.8519581908495
15-February-2019,7046.0,7090.6,6900.0,6925.3,6948.14175709562
14-February-2019,7054.0,7106.5,6989.7,7017.05,7037.812403956971
13-February-2019,7184.7,7184.7,6994.3,7023.65,7072.2728348172595
12-February-2019,7217.0,7229.0,7122.0,7145.1,7176.228633926921
11-February-2019,7140.0,7219.45,7053.1,7185.05,7137.805406005438
8-February-2019,7284.0,7297.75,7101.0,7146.15,7199.070039449095
7-February-2019,7212.9,7314.0,7188.3,7284.25,7269.324492400511
6-February-2019,7130.0,7240.0,7074.6,7191.1,7137.040355448654
5-February-2019,6991.0,7126.35,6989.0,7096.0,7056.701274117218
4-February-2019,6965.0,7036.7,6852.05,6968.05,6951.392928844272
1-February-2019,6655.0,7196.0,6655.0,6956.55,6925.422478573121
31-January-2019,6599.0,6675.85,6465.65,6628.05,6569.620232973336
30-January-2019,6541.0,6582.0,6509.8,6528.25,6536.9536865606615
29-January-2019,6495.0,6612.3,6442.05,6523.3,6536.220521894379
28-January-2019,6514.8,6601.8,6324.35,6508.55,6461.055370548525
25-January-2019,7069.0,7131.0,6420.0,6516.35,6692.625190108436
24-January-2019,7045.0,7099.95,7011.0,7037.4,7053.334822644797
23-January-2019,7042.0,7130.0,7020.0,7042.15,7064.333424910222
22-January-2019,7199.0,7199.0,7051.0,7068.25,7099.358476845857
21-January-2019,7384.0,7384.0,7160.45,7200.95,7263.215994398846
18-January-2019,7365.0,7375.0,7324.7,7353.35,7347.323684328995
17-January-2019,7325.0,7397.95,7310.25,7333.7,7349.968355370674
16-January-2019,7365.0,7384.75,7291.05,7305.25,7327.855889529151
15-January-2019,7438.7,7465.0,7321.0,7349.55,7376.461070361313
14-January-2019,7311.0,7431.7,7251.85,7402.55,7346.830843865696
11-January-2019,7395.0,7395.5,7288.65,7319.8,7335.050767185507
10-January-2019,7483.3,7502.05,7220.0,7385.95,7438.675996136198
9-January-2019,7493.0,7525.0,7417.5,7465.85,7479.389403450996
8-January-2019,7385.0,7456.25,7320.0,7421.35,7402.934638414546
7-January-2019,7350.0,7413.15,7301.0,7349.0,7357.322361227246
