Date,Open Price,High Price,Low Price,Close Price,WAP
14-March-2019,531.0,534.15,530.6,533.55,532.8062150450016
13-March-2019,541.0,542.05,531.05,533.1,535.2951920334633
12-March-2019,541.0,543.5,537.6,539.1,539.9201169248757
11-March-2019,538.05,541.4,535.5,539.85,539.3406332317545
8-March-2019,540.0,543.45,537.1,539.5,540.5805089618689
7-March-2019,552.8,552.8,539.0,540.85,542.5196140203491
6-March-2019,551.4,551.4,542.75,547.6,546.5425061352848
5-March-2019,552.0,552.0,546.75,548.55,548.8179123553646
1-March-2019,557.0,557.0,547.6,551.65,550.1649209524929
28-February-2019,552.0,557.95,545.7,554.85,550.520019591037
27-February-2019,550.0,555.3,545.0,550.95,550.1492833346247
26-February-2019,548.95,553.3,538.4,550.35,546.9737271286294
25-February-2019,542.55,550.95,541.45,549.05,547.9763297989354
22-February-2019,541.05,545.0,539.1,541.75,541.4481151403402
21-February-2019,543.0,547.75,541.0,543.1,543.2494068744593
20-February-2019,539.2,542.5,538.9,541.05,540.9919892099563
19-February-2019,550.0,550.0,536.4,539.2,540.8869432365731
18-February-2019,541.35,544.3,532.5,541.35,539.2760011899006
15-February-2019,540.45,551.0,528.2,540.4,539.2463548027399
14-February-2019,545.0,555.05,538.35,542.8,546.9118486222102
13-February-2019,545.0,545.0,538.2,543.5,542.4151129972599
12-February-2019,540.0,545.1,535.85,542.2,542.258549184562
11-February-2019,538.0,545.0,536.0,543.5,542.17328939055
8-February-2019,537.95,543.6,531.3,535.05,538.2583607466138
7-February-2019,536.0,546.0,528.0,533.85,535.3716407836297
6-February-2019,510.0,543.0,504.4,527.95,517.939091729289
5-February-2019,508.9,514.0,501.25,508.85,507.5959794350412
4-February-2019,522.0,522.0,506.65,508.7,511.2688035378508
1-February-2019,519.0,522.35,512.7,520.55,518.6035394946315
31-January-2019,505.8,519.55,504.8,516.25,511.8333726137168
30-January-2019,504.95,506.75,498.0,505.8,503.12419140985986
29-January-2019,490.0,508.45,483.75,504.45,498.8672399456468
28-January-2019,510.0,510.0,489.4,491.95,494.0120945322772
25-January-2019,503.9,510.0,501.85,506.9,504.86581887153136
24-January-2019,510.0,510.75,496.25,500.65,503.0997521643184
23-January-2019,508.5,512.1,507.0,509.6,509.61882574812097
22-January-2019,510.4,511.65,503.15,506.95,506.7709947286425
21-January-2019,514.0,514.0,509.45,510.8,510.8808899471904
18-January-2019,512.5,512.9,507.5,509.7,509.9357450235078
17-January-2019,516.8,516.8,506.55,509.75,510.35588257662175
16-January-2019,517.0,517.0,509.75,512.2,512.3265360216288
15-January-2019,513.1,516.2,509.8,514.75,513.0676689312273
14-January-2019,514.95,514.95,506.0,512.25,509.15056770198
11-January-2019,512.45,519.15,509.5,511.05,513.3431626219368
