Date,Open Price,High Price,Low Price,Close Price,WAP
14-March-2019,807.0,819.8,794.0,817.0,810.2985259785298
13-March-2019,817.4,823.4,806.0,808.0,812.8941497837468
12-March-2019,813.0,828.05,810.4,816.2,817.3595162986328
11-March-2019,812.05,824.7,812.0,818.75,818.9794003204393
8-March-2019,804.0,818.6,793.75,806.0,810.1256753627663
7-March-2019,818.0,835.0,807.75,815.15,820.0439905809986
6-March-2019,793.1,834.0,793.1,818.1,820.4205129336011
5-March-2019,795.7,795.7,783.3,790.75,789.3109152247251
1-March-2019,769.75,792.0,769.35,786.0,781.8289249918588
28-February-2019,765.0,772.75,752.7,767.05,764.388302839553
27-February-2019,764.35,781.05,756.95,763.75,772.3638242215027
26-February-2019,751.8,763.6,738.95,758.9,752.9280201676213
25-February-2019,726.85,762.0,726.85,753.55,751.2437416685817
22-February-2019,705.0,730.0,695.15,726.85,713.7573433199478
21-February-2019,686.25,702.2,686.0,697.9,697.3530315325759
20-February-2019,685.0,691.0,681.9,687.1,686.9249887257604
19-February-2019,682.0,694.5,682.0,684.3,688.6868290516029
18-February-2019,688.0,691.9,675.0,686.3,682.8787044484318
15-February-2019,698.25,699.2,682.4,686.65,688.7796768738083
14-February-2019,693.8,708.35,688.6,704.25,697.7994304053049
13-February-2019,702.25,705.6,685.4,697.45,695.9455479703441
12-February-2019,689.95,715.2,681.0,701.45,691.6522315901186
11-February-2019,690.0,694.9,669.05,688.8,681.3065321430215
8-February-2019,660.0,709.95,659.0,687.25,691.8234725335608
7-February-2019,717.9,723.2,628.0,655.45,665.1293414071849
6-February-2019,730.2,731.35,698.3,710.75,710.7797683468809
5-February-2019,742.0,745.95,720.1,730.65,734.2978150484689
4-February-2019,738.1,752.25,733.2,740.85,740.4158490566037
1-February-2019,754.25,765.0,740.0,744.8,752.7256725481453
31-January-2019,766.05,766.7,750.2,754.1,757.3117383735388
30-January-2019,759.7,773.85,751.4,763.15,761.3194114510109
