Date,Open Price,High Price,Low Price,Close Price,WAP
7-September-2017,824.0,832.7,816.5,818.9,822.9544912522299
6-September-2017,1631.4,1652.4,1625.0,1644.6,1644.00978094023
5-September-2017,1619.0,1634.9,1619.0,1633.0,1629.5828601772416
4-September-2017,1615.0,1635.75,1596.2,1611.35,1613.5109846401012
1-September-2017,1601.8,1615.95,1598.2,1609.35,1608.62573554778
31-August-2017,1570.3,1597.5,1570.3,1593.5,1585.7009401415626
30-August-2017,1545.0,1568.6,1543.6,1564.15,1556.5817003148734
29-August-2017,1560.0,1566.8,1530.0,1531.75,1542.7429488029795
28-August-2017,1579.0,1582.25,1561.7,1565.8,1568.0573150413516
24-August-2017,1591.7,1592.2,1564.6,1567.4,1575.5169263262815
23-August-2017,1567.0,1585.0,1554.0,1581.3,1567.3525316257349
22-August-2017,1574.0,1579.5,1558.0,1563.35,1571.2191499129035
21-August-2017,1577.05,1585.1,1563.0,1565.8,1573.9246334357902
18-August-2017,1566.0,1579.5,1553.65,1575.4,1568.4636907887823
17-August-2017,1571.7,1596.85,1560.1,1566.05,1580.6534604179494
16-August-2017,1571.0,1578.0,1550.55,1566.95,1561.4501332088098
14-August-2017,1556.5,1585.0,1556.5,1573.15,1572.4393531089718
11-August-2017,1554.9,1578.0,1535.5,1546.55,1556.808394950012
10-August-2017,1597.95,1606.85,1577.3,1584.05,1591.1651537887792
9-August-2017,1600.0,1619.9,1585.75,1598.85,1605.2607720762985
8-August-2017,1620.0,1621.0,1588.25,1603.4,1604.6437249505047
7-August-2017,1629.6,1632.0,1612.8,1616.6,1621.435715589136
4-August-2017,1660.55,1663.2,1615.55,1622.5,1626.4999367426694
3-August-2017,1629.9,1665.0,1616.9,1651.55,1648.0207850739926
2-August-2017,1608.6,1636.0,1605.0,1629.1,1625.6807184619247
1-August-2017,1623.85,1625.0,1591.6,1603.55,1605.0763833721167
31-July-2017,1600.05,1618.0,1596.0,1613.85,1609.8674112613446
28-July-2017,1597.0,1605.0,1579.0,1594.25,1591.9229017595185
27-July-2017,1629.95,1631.1,1591.0,1598.35,1614.6572197194696
26-July-2017,1610.0,1629.95,1602.0,1621.9,1621.1584261403266
25-July-2017,1626.7,1629.0,1600.0,1603.35,1611.3589712646935
24-July-2017,1604.0,1624.8,1586.2,1616.1,1613.3964735719578
21-July-2017,1554.0,1592.2,1544.4,1586.2,1573.737295672134
20-July-2017,1540.0,1549.85,1521.05,1528.7,1535.7017082670277
19-July-2017,1519.7,1540.8,1515.0,1533.5,1528.2242038580068
18-July-2017,1548.4,1551.5,1512.0,1519.9,1526.3559732645224
17-July-2017,1534.3,1558.8,1534.3,1551.35,1549.991994406996
14-July-2017,1522.0,1534.0,1515.25,1531.05,1526.834600213577
13-July-2017,1510.0,1523.6,1506.7,1518.85,1516.746564667738
12-July-2017,1498.8,1524.5,1496.0,1510.5,1512.9142726011466
11-July-2017,1500.0,1504.0,1487.05,1495.2,1495.982584235587
10-July-2017,1492.0,1508.0,1487.0,1492.45,1497.048221532205
7-July-2017,1438.0,1497.0,1438.0,1490.8,1468.1139583859078
6-July-2017,1445.3,1449.95,1437.35,1441.4,1444.0458566483455
5-July-2017,1427.2,1445.9,1427.0,1439.8,1439.9142037205277
4-July-2017,1387.5,1425.5,1387.5,1422.7,1408.7522884878367
3-July-2017,1388.0,1394.0,1372.1,1384.1,1384.7745327761686
30-June-2017,1392.9,1394.2,1375.1,1380.25,1381.6453708716833
29-June-2017,1412.0,1418.0,1390.3,1392.9,1397.8500032798113
28-June-2017,1438.3,1440.0,1396.15,1398.5,1408.7895880102594
27-June-2017,1432.0,1440.05,1425.0,1435.9,1433.515854368932
23-June-2017,1439.0,1441.7,1430.9,1435.0,1437.618098037855
22-June-2017,1430.0,1444.0,1428.65,1433.15,1437.650687679876
21-June-2017,1410.0,1427.0,1405.6,1418.1,1418.0130883763861
20-June-2017,1415.0,1422.6,1408.05,1412.25,1414.7804669237912
19-June-2017,1391.9,1415.0,1391.0,1409.15,1410.3111004654015
16-June-2017,1388.8,1395.0,1370.1,1387.85,1382.3102108353014
15-June-2017,1362.0,1394.25,1360.0,1384.5,1381.6717352228795
14-June-2017,1318.0,1357.5,1315.75,1355.9,1346.7433286080086
13-June-2017,1316.0,1327.0,1309.0,1312.6,1318.7618251372362
12-June-2017,1329.5,1329.95,1317.5,1319.35,1321.4012713997984
9-June-2017,1344.0,1352.0,1330.0,1335.5,1340.4610467311584
8-June-2017,1340.0,1345.0,1328.1,1329.9,1332.5424751599644
7-June-2017,1312.8,1343.2,1308.6,1339.2,1328.53306179045
6-June-2017,1338.9,1338.9,1310.9,1313.4,1320.3173246540289
5-June-2017,1325.0,1340.5,1315.75,1328.9,1324.1599572646319
2-June-2017,1330.05,1338.8,1316.6,1324.75,1325.887195721772
1-June-2017,1338.0,1339.95,1323.05,1328.5,1329.4182693327111
31-May-2017,1368.0,1368.0,1336.0,1340.6,1354.208422180529
30-May-2017,1356.55,1364.3,1349.0,1358.85,1357.3064747542585
29-May-2017,1337.3,1365.9,1336.0,1356.55,1352.1784479883747
26-May-2017,1302.0,1344.05,1301.0,1335.8,1326.7451471783013
25-May-2017,1300.0,1311.75,1297.8,1302.9,1303.9531568792174
24-May-2017,1305.65,1313.5,1295.0,1297.0,1303.1704600647595
23-May-2017,1324.0,1330.25,1301.5,1304.4,1312.3608385775399
22-May-2017,1322.55,1333.35,1315.05,1323.75,1322.8305655033062
19-May-2017,1339.0,1339.0,1311.1,1318.5,1322.5581616034676
18-May-2017,1346.8,1352.0,1323.3,1327.05,1335.8561285307076
17-May-2017,1356.0,1364.85,1348.05,1352.4,1354.1029763968745
16-May-2017,1345.0,1377.0,1341.8,1356.4,1359.8893895932933
15-May-2017,1354.5,1356.05,1334.5,1343.65,1344.3409628717327
12-May-2017,1363.9,1363.9,1344.2,1350.85,1353.369796529823
11-May-2017,1361.6,1374.95,1352.25,1356.7,1360.0130064498665
10-May-2017,1333.0,1363.0,1331.45,1359.5,1352.9888009827032
9-May-2017,1323.0,1333.0,1321.0,1330.6,1328.6594980518491
8-May-2017,1328.6,1339.6,1320.0,1321.95,1329.3882764461646
5-May-2017,1361.0,1367.65,1325.05,1328.6,1343.4762636340265
4-May-2017,1373.1,1379.5,1354.65,1358.75,1364.2520100229856
3-May-2017,1375.25,1380.5,1365.0,1370.25,1370.9426880746817
2-May-2017,1400.1,1402.0,1366.75,1370.9,1376.139386631717
28-April-2017,1409.05,1420.8,1390.5,1394.8,1403.238047905163
27-April-2017,1420.0,1424.7,1402.75,1408.05,1407.5640163700243
